season,episode,episode_name,director,writer,imdb_rating,total_votes,air_date,n_lines,n_directions,n_words,n_speak_char,main_chars
2,22,Casino Night,Greg Daniels,Steve Carell,9.3,3644,2006-05-11,368,28,3204,23,Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
3,1,Gay Witch Hunt,Ken Kwapis,Greg Daniels,8.9,3087,2006-09-21,141,30,2213,18,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
3,2,The Convention,Ken Whittingham,Lee Eisenberg;Gene Stupnitsky,8.2,2275,2006-09-28,299,11,2563,21,Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,3,The Coup,Greg Daniels,Paul Lieberstein,8.5,2388,2006-10-05,259,58,2167,15,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Pam;Phyllis;Stanley
3,4,Grief Counseling,Roger Nygard,Jennifer Celotta,8,2311,2006-10-12,236,52,2737,19,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,5,Initiation,Randall Einhorn,B.J. Novak,8.2,2254,2006-10-19,262,16,2519,18,Andy;Angela;Dwight;Jim;Kelly;Kevin;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,6,Diwali,Miguel Arteta,Mindy Kaling,8,2320,2006-11-02,213,28,2108,26,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,7,Branch Closing,Tucker Gates,Michael Schur,8.5,2260,2006-11-09,260,42,2537,20,Andy;Angela;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,8,The Merger,Ken Whittingham,Brent Forrester,8.7,2376,2006-11-16,474,52,3984,21,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,9,The Convict,Jeffrey Blitz,Ricky Gervais;Stephen Merchant,8.2,2373,2006-11-30,191,23,2419,17,Andy;Angela;Creed;Dwight;Jim;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Stanley;Toby
3,10,A Benihana Christmas (Parts 1&2),Harold Ramis,Jennifer Celotta,8.7,2541,2006-12-14,480,142,4672,29,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
3,12,Back from Vacation,Julian Farino,Justin Spitzer,8.5,2255,2007-01-04,216,30,2218,16,Andy;Angela;Darryl;Dwight;Jim;Kevin;Michael;Pam;Phyllis;Stanley;Toby
3,13,Traveling Salesmen,Greg Daniels,Michael Schur;Lee Eisenberg;Gene Stupnitsky,8.6,2316,2007-01-11,264,18,2813,20,Andy;Angela;Dwight;Jim;Kelly;Kevin;Michael;Pam;Phyllis;Ryan;Stanley
3,14,The Return,Greg Daniels,Lee Eisenberg;Gene Stupnitsky;Michael Schur,8.8,2430,2007-01-18,207,39,1986,20,Andy;Angela;Creed;Dwight;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
3,15,Ben Franklin,Randall Einhorn,Mindy Kaling,8.2,2254,2007-02-01,257,23,2330,17,Angela;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Ryan;Stanley
3,16,Phyllis' Wedding,Ken Whittingham,Caroline Williams,8.3,2283,2007-02-08,180,20,2015,21,Angela;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Stanley;Toby
3,17,Business School,Joss Whedon,Brent Forrester,8.8,2622,2007-02-15,185,18,2108,23,Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Ryan;Stanley;Toby
3,18,Cocktails,J.J. Abrams,Paul Lieberstein,8.5,2264,2007-02-22,290,20,2507,22,Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Pam;Ryan;Toby
3,19,The Negotiation,Jeffrey Blitz,Michael Schur,8.9,2555,2007-04-05,355,47,3556,19,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
3,20,Safety Training,Harold Ramis,B.J. Novak,8.8,2424,2007-04-12,290,32,2911,20,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Ryan;Stanley;Toby
3,21,Product Recall,Randall Einhorn,Brent Forrester;Justin Spitzer,8.7,2409,2007-04-26,257,45,2760,18,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
3,22,Women's Appreciation,Tucker Gates,Gene Stupnitsky;Lee Eisenberg,8.8,2403,2007-05-03,286,72,3348,16,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Pam;Phyllis;Ryan;Toby
3,23,Beach Games,Harold Ramis,Jennifer Celotta;Greg Daniels,9.1,2783,2007-05-10,281,55,3469,18,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
3,24,The Job (Parts 1&2),Ken Kwapis,Paul Lieberstein;Michael Schur,9.3,3010,2007-05-17,508,102,5151,19,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
4,1,Fun Run (Parts 1&2),Greg Daniels,Greg Daniels,8.8,2826,2007-09-27,487,68,5243,22,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
4,3,Dunder Mifflin Infinity (Parts 1&2),Craig Zisk,Michael Schur,8.4,2248,2007-10-04,551,108,5567,20,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
4,5,Launch Party (Parts 1&2),Ken Whittingham,Jennifer Celotta,8.5,2173,2007-10-11,545,46,5427,28,Andy;Angela;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
4,7,Money (Parts 1&2),Paul Lieerstein,Paul Lieberstein,8.7,2341,2007-10-18,452,53,4902,28,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
4,9,Local Ad,Jason Reitman,B.J. Novak,8.8,2388,2007-10-25,208,37,2648,22,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
4,10,Branch Wars,Joss Whedon,Mindy Kaling,8.5,2185,2007-11-01,281,32,2914,13,Andy;Dwight;Jim;Kevin;Michael;Oscar;Pam;Phyllis;Stanley;Toby
4,11,Survivor Man,Paul Feig,Steve Carell,8.3,2110,2007-11-08,233,64,2718,15,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
4,12,The Deposition,Julian Farino,Lester Lewis,8.7,2202,2007-11-15,244,44,2804,20,Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Ryan;Toby
4,13,Dinner Party,Paul Feig,Gene Stupnitsky;Lee Eisenberg,9.3,4095,2008-04-10,282,51,2805,15,Andy;Angela;Dwight;Jim;Michael;Pam;Phyllis;Stanley
4,14,Chair Model,Jeffrey Blitz,B.J. Novak,8.1,2095,2008-04-17,220,61,2680,20,Andy;Angela;Creed;Dwight;Jim;Kevin;Michael;Oscar;Pam;Phyllis;Stanley
4,15,Night Out,Ken Whittingham,Mindy Kaling,8.7,2179,2008-04-24,308,40,2819,25,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
4,16,Did I Stutter?,Randall Einhorn,Brent Forrester;Justin Spitzer,8.4,2087,2008-05-01,255,26,2816,15,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
4,17,Job Fair,Tucker Gates,Lee Eisenberg;Gene Stupnitsky,7.9,1977,2008-05-08,188,55,2256,20,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis
4,18,"Goodbye, Toby (Parts 1&2)",Paul Feig,Jennifer Celotta;Paul Lieberstein,9.3,3010,2008-05-15,516,96,4960,22,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
5,1,Weight Loss (Parts 1&2),Paul Feig,Lee Eisenberg;Gene Stupnitsky,8.8,2501,2008-09-25,507,91,5280,24,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
5,3,Business Ethics,Jeffrey Blitz,Ryan Koh,8.3,1990,2008-10-09,220,39,2786,18,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
5,4,Baby Shower,Greg Daniels,Aaron Shure,8.1,1954,2008-10-16,270,48,2702,16,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
5,5,Crime Aid,Jennifer Celotta,Charlie Grandy,8.1,1884,2008-10-23,268,43,2436,20,Andy;Angela;Creed;Darryl;Dwight;Jim;Kevin;Michael;Oscar;Pam;Phyllis;Stanley
5,6,Employee Transfer,David Rogers,Anthony Q. Farrell,8.1,1962,2008-10-30,295,44,2791,17,Andy;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
5,7,Customer Survey,Stephen Merchant,Lester Lewis,8.5,2018,2008-11-06,367,78,3214,15,Andy;Angela;Darryl;Dwight;Jim;Kelly;Kevin;Michael;Pam;Ryan
5,8,Business Trip,Randall Einhorn,Brent Forrester,8.2,1867,2008-11-13,325,82,2711,26,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
5,9,Frame Toby,Jason Reitman,Mindy Kaling,8.6,2089,2008-11-20,298,41,2876,20,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Toby
5,10,The Surplus,Paul Feig,Gene Stupnitsky;Lee Eisenberg,8.7,2070,2008-12-04,323,44,2720,16,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
5,11,Moroccan Christmas,Paul Feig,Justin Spitzer,8.4,1951,2008-12-11,240,42,2683,19,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
5,12,The Duel,Dean Holland,Jennifer Celotta,8.7,2011,2009-01-15,291,63,2476,15,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
5,13,Prince Family Paper,Asaad Kelada,B.J. Novak,8.1,1954,2009-01-22,262,58,2464,23,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
5,14,Stress Relief (Parts 1&2),Jeffrey Blitz,Paul Lieberstein,9.6,5948,2009-02-01,416,93,4855,26,Andy;Angela;Creed;Darryl;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
5,16,Lecture Circuit (Part 1),Ken Kwapis,Mindy Kaling,8.2,1838,2009-02-05,237,52,2792,14,Andy;Creed;Dwight;Jim;Kelly;Michael;Oscar;Pam;Phyllis;Stanley
5,17,Lecture Circuit (Part 2),Ken Kwapis,Mindy Kaling,8.2,1808,2009-02-12,252,60,2412,17,Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
5,18,Blood Drive,Randall Einhorn,Brent Forrester,8.1,1847,2009-03-05,300,50,2735,20,Angela;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
5,19,Golden Ticket,Randall Einhorn,Mindy Kaling,8.7,1987,2009-03-12,311,67,3223,13,Andy;Creed;Darryl;Dwight;Jim;Kevin;Michael;Oscar;Pam;Stanley
5,20,New Boss,Paul Feig,Lee Eisenberg;Gene Stupnitsky,8.3,1875,2009-03-19,290,43,3121,15,Andy;Angela;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Stanley
5,21,Two Weeks,Paul Lieberstein,Aaron Shure,8.4,1864,2009-03-26,267,37,2638,18,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
5,22,Dream Team,Paul Feig,B.J. Novak,8.3,1863,2009-04-09,309,55,2885,21,Andy;Angela;Creed;Dwight;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
5,23,The Michael Scott Paper Company,Gene Stupnitsky;Lee Eisenberg,Justin Spitzer,8.7,2032,2009-04-09,256,38,2623,17,Andy;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
5,24,Heavy Competition,Ken Whittingham,Ryan Koh,8.7,1913,2009-04-16,276,46,2900,14,Andy;Dwight;Jim;Kelly;Kevin;Michael;Pam;Phyllis;Ryan;Stanley
5,25,Broke,Steve Carell,Charlie Grandy,9.1,2509,2009-04-23,288,21,2790,18,Andy;Angela;Dwight;Erin;Jim;Kelly;Kevin;Michael;Pam;Phyllis;Ryan;Stanley
5,26,Casual Friday,Brent Forrester,Anthony Q. Farrell,8.3,1845,2009-04-30,319,31,3222,17,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
5,27,Cafe Disco,Randall Einhorn,Warren Lieberstein;Halsted Sullivan,8.7,2107,2009-05-07,274,30,2579,22,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
5,28,Company Picnic,Ken Kwapis,Jennifer Celotta;Paul Lieberstein,8.9,2232,2009-05-14,273,72,2512,25,Andy;Angela;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
6,1,Gossip,Paul Lieberstein,Paul Lieberstein,8.7,2127,2009-09-17,332,124,2997,21,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,2,The Meeting,Randall Einhorn,Aaron Shure,8.2,1755,2009-09-24,268,37,3192,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,3,The Promotion,Jennifer Celotta,Jennifer Celotta,8,1751,2009-10-01,304,42,3289,16,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,4,Niagara (Parts 1&2),Paul Feig,Greg Daniels;Mindy Kaling,9.3,3579,2009-10-08,552,83,5580,33,Andy;Angela;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,6,Mafia,David Rogers,Brent Forrester,7.7,1829,2009-10-15,353,41,3297,19,Andy;Creed;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Toby
6,7,The Lover,Lee Eisenberg;Gene Stupnitsky,Lee Eisenberg;Gene Stupnitsky,8.6,1917,2009-10-22,315,84,2862,17,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,8,Koi Pond,Reginald Hudlin,Warren Lieberstein;Halsted Sullivan,8.2,1739,2009-10-29,319,37,3181,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,9,Double Date,Seth Gordon,Charlie Grandy,8.2,1709,2009-11-05,367,54,3293,19,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,10,Murder,Greg Daniels,Daniel Chun,8.6,2016,2009-11-12,247,55,3038,18,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,11,Shareholder Meeting,Charles McDougall,Justin Spitzer,8.2,1726,2009-11-19,267,46,3064,27,Andy;Creed;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,12,Scott's Tots,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,8.3,1981,2009-12-03,265,26,3038,23,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,13,Secret Santa,Randall Einhorn,Mindy Kaling,8.5,1844,2009-12-10,334,70,2962,24,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,14,The Banker,Jeffrey Blitz,Jason Kessler,6.8,2288,2010-01-21,131,25,1098,12,Andy;Angela;Dwight;Kevin;Michael;Pam;Ryan;Toby
6,15,Sabre,John Krasinski,Jennifer Celotta,7.8,1681,2010-02-04,264,43,3049,24,Andy;Angela;Creed;Dwight;Erin;Jim;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Stanley;Toby
6,16,The Manager and the Salesman,Marc Webb,Mindy Kaling,8.1,1670,2010-02-11,295,43,3183,17,Andy;Angela;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan
6,17,The Delivery (Parts 1&2),Seth Gordon;Harold Ramis,Daniel Chun;Charlie Grandy,8.4,1750,2010-03-04,625,53,5950,27,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,19,St. Patrick's Day,Randall Einhorn,Jonathan Huges,7.8,1642,2010-03-11,279,52,2947,25,Andy;Angela;Creed;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,20,New Leads,Brent Forrester,Brent Forrester,7.9,1609,2010-03-18,281,78,2846,18,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,21,Happy Hour,Matt Sohn,B.J. Novak,8.6,1873,2010-03-25,359,45,2766,24,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,22,Secretary's Day,Steve Carell,Mindy Kaling,7.9,1613,2010-04-22,267,63,2889,20,Andy;Angela;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Toby
6,23,Body Language,Mindy Kaling,Justin Spitzer,8,1633,2010-04-29,328,64,3229,19,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
6,24,The Cover,Rainn Wilson,Gene Stupnitsky;Lee Eisenberg,8.2,1627,2010-05-06,308,62,3111,19,Andy;Creed;Darryl;Dwight;Erin;Jim;Kelly;Meredith;Michael;Oscar;Pam;Ryan;Stanley
6,25,The Chump,Randall Einhorn,Aaron Shure,7.9,1571,2010-05-13,326,46,3304,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
6,26,Whistleblower,Paul Lieberstein,Warren Lieberstein;Halsted Sullivan,8,1625,2010-05-20,245,34,3209,23,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,1,Nepotism,Jeffrey Blitz,Daniel Chun,8.4,1897,2010-09-23,240,32,2860,21,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,2,Counseling,Jeffrey Blitz,B.J. Novak,8.3,1684,2010-09-30,268,19,2976,20,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Michael;Oscar;Pam;Phyllis;Ryan;Stanley;Toby
7,3,Andy's Play,John Scott,Charlie Grandy,8.2,1802,2010-10-07,229,33,2334,17,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Meredith;Michael;Oscar;Pam;Phyllis;Stanley
7,4,s*x Ed,Paul Lieberstein,Paul Lieberstein,7.9,1650,2010-10-14,321,62,3141,30,Andy;Angela;Creed;Darryl;Dwight;Erin;Jim;Kelly;Kevin;Meredith;Michael;Oscar;Pam;Phyllis;Ryan;Stanley
