x,y,z
0.623,1.664,B
-1.456,-2.01,B
-0.28,1.554,B
-0.96,-1.555,B
0.373,0.116,A
-0.421,0.024,A
-1.015,0.862,B
1.656,-0.399,B
-0.855,1.836,B
0.327,-1.38,B
-0.271,1.529,B
0.475,1.031,B
3.012,0.339,B
-1.476,0.902,B
-1.018,-0.634,B
-0.516,-0.783,A
1.914,-0.806,B
-0.887,0.776,B
0.102,-0.919,A
-0.673,0.322,A
-1.655,-0.28,B
-0.53,-0.624,A
1.267,0.548,B
1.574,0.002,B
-0.446,-0.613,A
1.293,1.932,B
2.093,0.407,B
-0.747,0.878,B
0.19,-0.377,A
-0.889,-0.281,A
-1.945,0.167,B
-0.478,0.494,A
-0.044,-0.854,A
-0.882,-0.906,B
0.629,1.761,B
0.372,-1.369,B
-0.471,1.252,B
-0.108,-0.911,A
0.958,0.007,A
-0.048,0.215,A
0.146,0.279,A
-1.207,-1.534,B
-0.59,0.075,A
-0.029,0.071,A
0.093,1.9,B
-1.444,1.556,B
0.13,0.385,A
0.601,0.243,A
-0.359,0.632,A
-0.746,1.439,B
0.904,-1.718,B
-1.651,0.159,B
-0.227,0.018,A
-0.698,0.288,A
1.16,-1.361,B
2.224,-2.068,B
1.182,1.74,B
1.497,-0.582,B
0.104,-2.253,B
1.352,0.114,B
-0.095,-0.856,A
1.215,0.937,B
1.319,-1.027,B
-0.644,-0.391,A
0.763,-0.888,B
2.254,-1.138,B
-1.885,0.751,B
-0.44,-0.597,A
1.296,-0.793,B
0.216,0.639,A
0.418,0.882,A
0.293,0.936,A
-1.201,-0.371,B
-2.062,-1.751,B
0.587,-0.201,A
0.217,0.83,A
-0.877,0.832,B
-0.166,1.345,B
0.301,2.042,B
1.444,-0.958,B
-1.514,-0.557,B
-0.821,-0.204,A
-1.887,1.145,B
-0.486,-0.089,A
-0.453,-1.71,B
0.952,0.981,B
0.19,0.348,A
0.371,-0.874,A
-0.6,-0.297,A
-0.491,1.425,B
0.556,-1.654,B
1.848,-1.264,B
-0.576,1.47,B
-0.617,0.188,A
0.301,1.185,B
-0.883,-1.685,B
-1.614,1.295,B
-1.425,1.251,B
0.433,-0.341,A
-3.01,0.396,B
-2.098,-0.088,B
2.009,1.744,B
-0.855,0.956,B
1.387,-0.613,B
-0.268,-0.403,A
-1.033,1.355,B
0.169,0.135,A
-0.335,-0.388,A
0.132,-1.451,B
1.008,0.782,B
-0.314,-0.55,A
0.109,-0.981,A
-0.786,-0.484,A
-0.92,1.017,B
1.149,0.79,B
-0.472,-2.412,B
-0.062,1.938,B
-0.752,1.278,B
-0.586,0.725,A
0.213,0.343,A
-2.143,-0.369,B
-0.56,-1.441,B
-0.034,2.236,B
0.968,-2.434,B
-0.33,0.064,A
-1.378,-0.323,B
0.498,0.732,A
-0.445,0.322,A
1.418,0.029,B
-1.259,-0.234,B
-0.907,0.159,A
0.182,-0.327,A
0.944,1.325,B
-2.165,-1.735,B
0.529,0.586,A
-1.59,0.785,B
-0.219,1.267,B
0.963,0.091,A
-1.661,0.509,B
1.163,0.623,B
-0.096,-1.556,B
-0.745,0.368,A
-0.438,-1.202,B
0.834,-2.261,B
0.179,-1.912,B
0.506,-0.03,A
0.817,-1.128,B
-0.035,-0.216,A
0.084,0.326,A
0.241,0.958,A
-0.314,0.054,A
1.366,-0.023,B
-1.724,1.288,B
1.215,-1.231,B
-1.321,-0.701,B
-0.122,-0.747,A
0.033,1.6,B
1.065,0.747,B
-0.233,-0.782,A
0.32,-2.146,B
1.126,0.359,B
0.349,0.021,A
0.103,2.205,B
-1.129,2.727,B
-0.944,-0.594,B
0.705,0.026,A
0.415,1.28,B
2.576,-1.107,B
-1.054,1.589,B
1.914,-0.47,B
0.521,-0.706,A
1.328,-0.348,B
-0.782,1.415,B
-1.263,-0,B
-0.219,0.472,A
0.196,-3.393,B
1.604,1.365,B
0.247,1.951,B
-0.16,-0.147,A
-0.548,-0.811,A
0.425,-0.747,A
-0.747,1.433,B
-0.32,-1.059,B
0.72,-0.933,B
0.138,0.212,A
0.462,0.535,A
0.398,-1.327,B
-0.278,-0.904,A
0.749,-1.839,B
0.726,-0.499,A
-0.736,-0.288,A
-0.628,-0.297,A
1.172,-0.694,B
-0.192,-0.434,A
0.301,-0.438,A
-0.175,-0.363,A
2.131,0.676,B
-0.989,-1.55,B
-1.102,0.373,B
-0.455,0.745,A
-0.032,-0.268,A
0.302,-0.662,A
-0.576,-0.196,A
0.04,-0.51,A
-0.43,0.849,A
-1.681,1.714,B
-1.784,2.024,B
1.64,0.205,B
0.505,0.344,A
0,0.944,A
-0.332,0.097,A
-0.697,0.365,A
2.014,1.511,B
-1.361,-1.524,B
0.671,0.612,A
-0.57,0.412,A
0.773,-0.382,A
1.985,-0.108,B
0.012,-0.086,A
1.509,0.197,B
0.308,-0.351,A
0.731,1.317,B
0.389,-1.78,B
0.272,1.761,B
-1.055,0.349,B
-0.698,0.403,A
1.529,1.705,B
1.605,-1.248,B
-0.476,0.751,A
-0.788,-1.962,B
0.369,0.597,A
-0.374,-1.323,B
1.236,0.346,B
0.327,-0.28,A
-0.002,-0.041,A
0.467,-2.319,B
-1.464,0.188,B
-1.001,1.805,B
-0.564,1.757,B
0.11,-0.81,A
-0.668,-0.921,B
-0.874,1.618,B
-1.763,0.421,B
1.732,-0.606,B
0.959,-1.437,B
-1.458,-0.959,B
0.767,-0.262,A
0.834,-0.924,B
0.275,-0.044,A
0.926,1.032,B
0.955,-0.607,B
0.804,-0.081,A
0.276,1.244,B
1.627,-0.326,B
0.159,0.082,A
-0.142,1.485,B
1.445,-0.256,B
-0.721,1.881,B
2.243,-0.549,B
1.935,0.107,B
-0.029,0.013,A
1.956,0.16,B
1.09,-0.899,B
-0.177,1.396,B
0.86,1.711,B
-0.258,-0.097,A
-0.296,-0.939,A
-0.22,1.534,B
0.893,1.117,B
-1.759,0.273,B
-1.72,-0.199,B
0.615,0.243,A
-1.556,0.469,B
-2.192,-0.199,B
-0.408,-0.272,A
-1.61,-0.836,B
-2.013,0.618,B
2.158,-0.072,B
1.313,0.09,B
-0.022,-0.826,A
-1.202,-0.353,B
1.116,-0.487,B
-0.112,0.015,A
-0.7,1.485,B
-0.252,1.702,B
-0.868,0.858,B
0.073,0.168,A
0.364,0.019,A
-1.553,0.47,B
-2.042,0.118,B
-1.775,0.706,B
-0.615,-0.432,A
-0.819,2.944,B
1.685,-1.168,B
-1.822,0.167,B
0.555,-0.614,A
-1.578,0.159,B
1.738,0.057,B
2.727,1.668,B
-0.259,-0.32,A
0.207,-0.937,A
-0.108,-2.317,B
-1.13,1.771,B
-0.509,0.072,A
-1.263,-0.302,B
0.369,0.897,A
-0.744,0.59,A
1.466,-0.571,B
-1.174,0.238,B
0.861,0.825,B
-1.126,0.811,B
0.517,0.136,A
-1.036,-0.577,B
1.915,-0.69,B
0.154,-0.347,A
-0.447,0.427,A
-1.15,1.26,B
1.931,1.221,B
-0.002,-1.551,B
-0.2,0.632,A
-0.509,-0.289,A
-1.232,3.314,B
0.129,1.601,B
0.329,1.219,B
0.362,-0.148,A
0.037,0.325,A
-2.072,0.163,B
2.049,1.537,B
0.144,-0.293,A
-1.221,0.467,B
-1.642,-0.694,B
1.09,-0.615,B
-0.489,0.346,A
-0.348,0.924,A
1.441,0.29,B
-0.054,0.575,A
0.454,-0.816,A
0.946,-0.11,A
-0.825,1.479,B
-0.661,1.663,B
0.058,0.346,A
0.128,2.437,B
-2.192,-0.297,B
-0.27,1.537,B
-1.953,-1.749,B
-2.469,-0.035,B
-1.028,1.1,B
-0.918,0.257,A
-0.215,-0.226,A
1.857,1.278,B
0.017,-0.593,A
-2.039,0.313,B
0.119,-0.576,A
-1.187,-1.728,B
0.579,2.095,B
1.235,0.135,B
0.022,-1.527,B
-0.943,0.306,A
-1.782,0.445,B
0.82,0.146,A
-1.269,-0.488,B
